system_type,response_time_ms,api_calls_count,ui_elements_count,user_interactions,error_rate,avg_session_duration_min,label
CRM,228,289,48,420,0.037,44,1
ERP,229,315,32,237,0.0268,14,0
POS,159,231,35,454,0.0315,35,0
CRM,147,154,10,169,0.0119,35,0
POS,128,474,23,681,0.0444,14,1
POS,196,482,41,582,0.0168,59,0
ERP,109,450,19,158,0.0244,45,0
POS,157,489,10,488,0.0129,33,1
POS,287,285,14,450,0.0155,24,1
CRM,120,222,12,438,0.0366,39,0
CRM,127,207,36,695,0.0377,14,1
POS,133,221,31,535,0.0371,49,0
ERP,107,360,27,549,0.0321,57,1
CRM,286,452,25,476,0.0481,31,0
ERP,299,206,11,490,0.0303,42,0
POS,276,307,22,580,0.028,14,1
POS,178,213,25,213,0.0199,41,1
ERP,244,196,17,271,0.014,59,0
POS,287,440,17,117,0.0319,57,1
POS,186,203,19,334,0.0226,32,1
POS,187,416,42,409,0.031,19,0
POS,272,87,40,380,0.0182,45,1
CRM,168,180,21,295,0.0435,59,1
POS,259,407,18,214,0.05,26,0
POS,271,304,46,496,0.0229,36,0
CRM,292,257,18,662,0.0437,54,1
ERP,186,499,27,517,0.0449,17,1
POS,200,144,39,383,0.0498,49,0
ERP,107,397,41,684,0.0237,53,0
POS,176,376,49,427,0.0402,59,1
POS,299,220,32,440,0.0192,15,1
POS,186,299,20,320,0.035,16,0
ERP,142,239,29,108,0.0382,35,0
CRM,228,248,28,181,0.0396,26,1
ERP,208,270,45,393,0.0183,46,1
POS,278,73,35,474,0.0439,32,0
ERP,251,293,19,633,0.0268,36,1
CRM,251,472,33,514,0.0187,49,1
POS,116,373,22,198,0.0317,28,0
CRM,232,177,43,481,0.0445,36,1
CRM,247,142,38,603,0.0487,34,1
CRM,120,349,45,546,0.0399,49,0
POS,157,182,16,443,0.0102,34,1
POS,258,104,39,524,0.0154,30,1
ERP,209,207,26,405,0.0131,34,1
CRM,238,78,22,247,0.014,16,0
POS,279,459,33,553,0.0253,44,0
ERP,242,260,40,132,0.0235,15,1
CRM,234,203,36,600,0.0145,49,1
CRM,127,342,30,418,0.0453,59,1
CRM,150,271,10,292,0.0346,24,1
CRM,285,164,24,279,0.0419,33,0
POS,104,486,12,617,0.0249,58,1
CRM,104,207,15,490,0.0264,13,0
CRM,193,308,23,620,0.0227,16,1
POS,195,300,47,456,0.0275,39,1
ERP,107,171,42,672,0.0344,26,1
POS,163,348,47,563,0.0297,47,1
POS,237,312,17,198,0.0435,39,1
POS,137,430,35,247,0.046,54,0
ERP,210,98,24,669,0.0288,48,1
CRM,211,426,23,415,0.0196,18,1
POS,180,378,29,281,0.0478,28,0
POS,235,346,28,646,0.0394,22,1
POS,203,411,42,402,0.0356,56,0
ERP,252,126,45,657,0.0398,58,1
CRM,172,487,33,698,0.013,46,0
CRM,293,176,19,103,0.0127,28,1
CRM,277,246,43,206,0.0161,15,0
CRM,294,270,45,174,0.0159,21,1
ERP,148,140,45,139,0.0268,24,1
CRM,135,460,25,218,0.0163,56,1
CRM,225,57,24,172,0.0442,12,1
ERP,167,81,27,651,0.0331,13,1
CRM,177,369,16,303,0.0247,46,0
ERP,204,443,31,195,0.0128,47,1
CRM,268,318,41,378,0.0336,15,0
POS,221,240,28,242,0.0147,58,1
CRM,218,398,49,214,0.0397,37,1
CRM,289,212,10,575,0.0421,17,1
CRM,213,110,44,232,0.0318,40,1
CRM,109,487,14,267,0.016,30,1
ERP,248,313,21,344,0.0415,54,1
ERP,263,334,21,376,0.0223,38,0
CRM,239,144,30,358,0.0189,24,0
POS,190,90,28,145,0.0288,58,1
CRM,101,463,18,445,0.0469,33,1
POS,217,198,45,336,0.0219,30,0
ERP,112,253,41,152,0.0462,58,0
POS,280,316,44,247,0.0121,32,0
CRM,259,51,40,632,0.0133,40,1
ERP,194,227,41,189,0.0379,43,0
ERP,243,474,46,332,0.0176,37,1
POS,131,243,41,150,0.0227,41,0
POS,131,436,46,493,0.0155,31,1
POS,223,385,48,313,0.0233,12,0
CRM,110,484,47,550,0.0212,18,0
POS,109,245,39,438,0.0395,15,1
CRM,114,392,41,450,0.0381,10,1
ERP,116,298,11,384,0.0482,31,1
ERP,267,261,20,682,0.039,13,0
POS,245,202,29,344,0.0378,54,1
CRM,282,207,46,649,0.0378,17,1
ERP,252,411,18,683,0.0453,46,1
ERP,158,188,47,325,0.0218,51,0
ERP,177,270,28,540,0.022,28,1
ERP,223,322,49,573,0.0396,53,0
CRM,213,203,16,543,0.0191,10,1
CRM,121,298,14,511,0.0465,50,1
POS,257,328,33,345,0.0314,33,0
POS,271,489,16,682,0.022,57,1
CRM,131,485,20,599,0.041,26,1
POS,278,353,18,649,0.0225,41,1
CRM,273,325,39,216,0.0485,59,0
CRM,212,51,12,463,0.0493,23,1
ERP,219,137,31,303,0.0367,26,0
CRM,248,336,49,450,0.0145,41,1
POS,221,460,29,418,0.0205,42,0
CRM,131,179,41,458,0.0306,39,0
POS,218,127,16,616,0.0441,56,0
CRM,138,309,16,588,0.0174,43,1
CRM,111,290,29,206,0.0142,37,0
ERP,274,190,34,271,0.013,33,0
POS,117,277,44,618,0.0303,23,0
ERP,248,212,33,627,0.0454,43,0
ERP,240,285,49,419,0.0117,56,0
CRM,248,177,22,136,0.0185,10,0
POS,225,249,48,598,0.0377,31,0
ERP,235,499,13,364,0.043,42,1
POS,145,439,21,501,0.0423,53,1
ERP,203,80,26,317,0.0414,56,1
CRM,234,187,10,429,0.0152,27,1
CRM,250,70,26,285,0.0259,56,1
CRM,185,283,11,480,0.0494,48,1
POS,249,251,15,308,0.0496,21,1
POS,188,328,20,662,0.0341,19,1
POS,121,180,27,387,0.0384,11,1
CRM,191,465,49,187,0.0481,11,0
ERP,128,197,34,235,0.028,15,1
CRM,112,78,48,257,0.0155,29,1
ERP,101,410,37,254,0.0368,47,1
POS,128,357,25,562,0.0484,37,0
ERP,279,420,21,319,0.0379,51,1
CRM,126,479,38,558,0.0421,12,0
CRM,149,211,32,266,0.0269,57,0
POS,194,406,30,421,0.0139,46,0
CRM,250,389,25,661,0.0168,46,1
CRM,187,110,35,611,0.0493,51,0
CRM,143,174,46,186,0.0297,34,0
ERP,121,120,31,644,0.0105,32,0
ERP,270,375,19,374,0.0482,22,1
POS,264,444,16,240,0.0299,33,1
POS,288,413,18,452,0.0435,12,1
POS,196,292,34,104,0.0319,59,1
POS,283,298,24,481,0.0141,47,1
ERP,102,270,22,433,0.0346,37,1
CRM,290,496,35,574,0.0499,35,1
POS,217,70,30,129,0.0114,29,1
ERP,118,436,32,446,0.0437,36,0
POS,122,131,37,693,0.0194,10,0
CRM,256,393,47,592,0.0258,19,0
CRM,129,416,21,594,0.0249,19,0
POS,138,59,33,487,0.046,10,0
ERP,207,460,22,352,0.0302,41,1
ERP,210,61,49,129,0.0279,41,1
POS,124,312,11,441,0.0427,52,1
POS,227,194,48,386,0.012,36,1
POS,210,498,21,496,0.0135,22,1
CRM,235,241,48,608,0.0109,26,1
POS,205,299,23,343,0.0375,37,0
ERP,285,163,39,320,0.031,34,1
ERP,243,75,28,255,0.045,59,0
CRM,171,320,40,482,0.0299,45,0
CRM,228,82,34,419,0.0189,56,0
ERP,207,111,13,472,0.0422,11,0
POS,104,278,22,630,0.0218,41,0
POS,102,352,45,314,0.0474,41,1
CRM,292,144,46,466,0.02,15,0
CRM,231,84,12,213,0.0167,40,0
CRM,203,242,25,299,0.0297,18,1
POS,163,125,35,124,0.012,52,1
ERP,205,428,49,220,0.0115,25,0
CRM,197,298,48,102,0.0298,34,0
POS,109,132,28,544,0.0186,49,0
POS,248,74,24,353,0.0104,37,1
POS,227,106,41,119,0.0218,26,1
POS,145,81,30,303,0.0291,40,1
POS,254,368,10,456,0.0258,32,1
ERP,165,61,15,227,0.0154,40,1
ERP,268,368,36,457,0.0332,35,1
POS,211,382,32,391,0.0384,13,0
ERP,112,141,40,273,0.037,48,0
ERP,236,50,21,454,0.0258,52,0
CRM,263,484,30,136,0.0155,52,0
ERP,185,375,11,409,0.03,52,0
CRM,189,185,14,681,0.0456,24,1
POS,157,245,18,183,0.0287,46,1
ERP,153,182,29,609,0.0178,47,1
POS,111,135,27,543,0.0137,32,0
ERP,113,344,31,519,0.0478,14,0
ERP,220,328,17,304,0.0397,50,0
ERP,261,373,43,587,0.0225,52,0
ERP,280,229,18,187,0.0218,34,1
CRM,220,53,16,351,0.0458,39,1
CRM,119,175,39,130,0.0171,35,0
POS,174,224,27,520,0.0314,12,0
CRM,243,300,36,160,0.0385,13,0
CRM,169,70,25,678,0.0259,56,1
ERP,155,489,30,325,0.0116,27,0
CRM,200,154,14,434,0.0191,46,1
POS,285,115,38,678,0.0461,20,1
ERP,231,492,46,210,0.0309,20,0
ERP,210,312,31,590,0.0426,45,1
POS,224,98,23,371,0.0322,25,1
POS,231,65,28,133,0.0477,52,1
CRM,119,194,44,311,0.0464,34,1
POS,237,389,33,399,0.0293,10,1
POS,123,299,15,472,0.0227,35,0
CRM,253,392,12,224,0.0341,54,1
ERP,136,403,43,202,0.037,39,1
CRM,153,124,11,219,0.0299,15,0
POS,202,339,24,646,0.0429,36,0
POS,248,466,46,430,0.0173,28,1
ERP,137,331,24,408,0.0234,47,0
CRM,273,115,41,669,0.0375,54,1
POS,103,174,30,511,0.0199,52,1
CRM,287,368,26,498,0.0276,28,0
CRM,156,136,43,405,0.0485,48,1
CRM,272,90,41,262,0.035,53,1
POS,119,235,32,164,0.048,41,1
ERP,116,403,44,315,0.0389,57,0
POS,218,429,46,125,0.039,10,0
POS,170,384,46,683,0.0337,34,1
CRM,103,315,42,143,0.0157,56,0
ERP,113,320,34,189,0.0308,22,1
CRM,102,91,46,232,0.0201,19,1
ERP,179,142,49,260,0.0499,27,0
POS,285,234,30,479,0.0207,45,1
ERP,154,264,47,360,0.0192,31,1
POS,231,66,49,482,0.035,15,1
CRM,219,493,43,468,0.0304,36,1
ERP,123,314,28,210,0.0109,17,1
ERP,261,163,36,176,0.0152,33,1
CRM,257,341,18,308,0.0424,29,1
POS,181,341,14,112,0.0293,31,0
ERP,246,97,14,669,0.0158,18,0
ERP,258,356,34,647,0.0286,49,0
CRM,287,146,35,124,0.0201,59,0
POS,159,424,28,645,0.0189,48,1
CRM,246,144,39,239,0.0483,28,1
ERP,148,375,45,374,0.0245,59,1
CRM,162,123,25,469,0.0119,10,1
CRM,209,385,16,321,0.0488,20,1
ERP,249,117,27,136,0.0418,50,1
POS,251,295,30,228,0.0202,51,1
ERP,208,455,40,415,0.0264,19,0
ERP,175,126,10,422,0.0445,10,0
ERP,129,257,12,532,0.0243,36,1
CRM,157,421,40,317,0.0327,26,0
ERP,216,303,34,347,0.0314,53,1
CRM,258,270,17,210,0.0261,53,1
CRM,199,311,10,246,0.0356,26,1
POS,291,459,16,443,0.0289,48,0
ERP,118,380,16,608,0.0108,52,1
CRM,275,393,17,604,0.0426,11,1
CRM,272,308,28,651,0.0145,57,1
CRM,193,357,26,233,0.0286,32,0
ERP,282,123,20,563,0.0332,50,0
CRM,212,174,20,290,0.0382,19,1
CRM,282,237,47,262,0.0264,51,1
POS,245,303,11,555,0.0394,39,0
CRM,162,496,13,160,0.0153,44,1
CRM,215,370,37,104,0.0361,34,1
POS,212,357,42,136,0.0431,26,0
CRM,146,284,20,559,0.0456,55,0
POS,156,299,12,316,0.0332,28,0
CRM,217,381,49,238,0.0225,27,0
CRM,144,447,14,198,0.0165,27,1
CRM,260,394,30,363,0.0238,55,0
CRM,244,121,31,698,0.0316,44,1
CRM,297,284,46,695,0.0179,19,1
CRM,103,373,20,323,0.0481,32,0
ERP,247,205,31,110,0.0459,54,1
ERP,146,443,22,426,0.0113,31,0
CRM,242,164,12,449,0.0325,53,0
ERP,297,362,22,478,0.0416,18,1
POS,146,277,37,330,0.0198,41,0
ERP,177,371,20,240,0.031,35,0
POS,223,395,20,148,0.0262,38,0
POS,174,294,30,550,0.0179,51,0
ERP,202,355,30,590,0.0346,28,1
CRM,236,63,16,304,0.0497,57,1
CRM,189,65,26,508,0.0246,38,0
CRM,243,487,23,506,0.0321,44,0
ERP,168,476,42,150,0.0231,21,1
ERP,160,91,20,274,0.0451,17,0
ERP,237,159,22,360,0.0446,34,0
POS,149,327,10,579,0.0172,36,1
CRM,102,373,43,322,0.046,56,0
CRM,206,68,18,368,0.0161,52,1
CRM,212,115,22,417,0.0138,54,1
ERP,193,216,46,484,0.0361,15,0
POS,217,122,39,685,0.0254,22,1
POS,297,452,46,318,0.0312,20,1
ERP,180,449,16,153,0.0361,47,0
CRM,208,359,23,299,0.0121,15,0
CRM,150,458,15,438,0.0217,14,0
CRM,246,161,43,404,0.0284,16,0
POS,269,323,25,344,0.0207,28,1
CRM,134,456,46,307,0.012,52,0
POS,145,422,45,610,0.0135,15,0
ERP,253,134,15,358,0.0421,34,1
POS,168,188,17,479,0.0465,18,1
ERP,192,88,33,262,0.0161,29,0
ERP,163,154,12,440,0.02,34,0
ERP,264,373,13,675,0.0361,59,0
POS,148,330,41,629,0.0482,17,1
ERP,248,496,10,133,0.022,59,0
ERP,173,463,43,422,0.0442,46,0
ERP,291,478,18,280,0.0302,47,0
CRM,104,172,21,446,0.0483,11,0
POS,199,267,19,291,0.0155,31,1
POS,169,426,19,678,0.0489,45,1
ERP,189,110,32,345,0.0276,13,0
POS,103,149,15,344,0.0481,57,1
POS,225,356,33,232,0.0283,10,0
CRM,138,403,33,296,0.0312,57,0
ERP,262,442,30,446,0.0422,42,1
POS,228,253,40,148,0.0389,33,0
POS,123,307,39,163,0.0348,58,0
CRM,156,54,43,203,0.0267,14,1
CRM,199,495,27,312,0.0417,57,1
CRM,169,246,21,616,0.0479,44,1
ERP,140,229,44,218,0.0104,51,1
POS,281,391,16,341,0.0335,59,1
CRM,273,182,49,379,0.0446,59,1
POS,159,492,34,523,0.0361,35,1
POS,207,373,15,462,0.042,58,0
ERP,287,302,10,405,0.0458,52,1
ERP,156,314,25,585,0.04,50,1
CRM,130,142,13,413,0.0387,52,1
POS,183,199,38,612,0.0486,35,1
CRM,251,460,47,266,0.0445,50,0
POS,135,187,37,493,0.0426,58,0
POS,257,257,31,162,0.0135,14,0
ERP,251,174,17,371,0.0196,53,1
CRM,207,283,41,136,0.0323,27,0
ERP,205,110,42,115,0.0384,34,0
POS,257,356,22,442,0.0221,57,1
ERP,185,315,36,445,0.0137,50,0
POS,234,183,27,638,0.0224,49,1
CRM,262,367,27,332,0.0408,47,0
POS,282,162,22,675,0.0451,58,0
CRM,113,438,31,515,0.0465,55,0
ERP,219,427,23,366,0.0252,30,0
CRM,237,240,20,425,0.0249,33,0
POS,179,428,48,542,0.0263,37,1
CRM,243,489,31,659,0.025,55,1
CRM,281,236,45,175,0.0366,13,1
ERP,205,368,26,346,0.0243,17,0
ERP,169,416,41,679,0.0108,58,1
ERP,143,138,23,412,0.0276,42,1
CRM,172,236,38,675,0.019,12,1
POS,144,356,15,691,0.0112,58,0
CRM,283,483,13,442,0.0288,29,0
ERP,206,181,20,281,0.0182,44,1
CRM,183,409,49,498,0.0281,48,0
CRM,181,172,19,340,0.0211,52,0
CRM,206,97,37,391,0.0341,56,1
POS,284,337,20,153,0.0496,16,0
POS,120,425,44,244,0.0319,36,0
CRM,295,228,24,455,0.0359,14,1
CRM,277,229,17,697,0.0468,58,1
POS,260,148,29,576,0.025,46,1
ERP,106,379,30,121,0.0167,10,0
ERP,169,83,10,430,0.0213,31,1
ERP,226,469,38,391,0.0261,16,0
ERP,242,119,33,335,0.0358,58,0
CRM,259,220,39,128,0.0102,17,1
ERP,247,415,49,259,0.0441,53,0
ERP,242,321,44,629,0.013,39,0
ERP,275,108,42,649,0.046,37,1
POS,298,230,29,200,0.048,35,0
CRM,248,68,25,389,0.0496,43,0
CRM,269,275,18,476,0.0424,58,1
POS,253,144,40,272,0.0157,41,0
ERP,219,418,26,442,0.0382,31,0
CRM,227,346,40,678,0.0181,29,1
CRM,241,130,32,290,0.0459,23,0
CRM,156,224,15,538,0.0227,32,0
POS,264,271,39,654,0.0231,12,1
ERP,157,152,16,442,0.0467,28,1
CRM,120,103,49,224,0.0105,23,0
POS,181,232,20,651,0.0178,49,1
CRM,168,400,43,459,0.0269,48,1
CRM,230,452,21,602,0.038,46,1
POS,186,367,36,272,0.0359,44,1
ERP,264,404,21,493,0.0368,10,1
CRM,148,398,22,560,0.0452,28,0
POS,246,492,17,219,0.0148,24,0
POS,214,370,25,372,0.0309,34,0
CRM,188,117,38,457,0.039,10,1
CRM,184,77,44,485,0.0354,40,1
POS,227,323,38,418,0.0279,46,0
CRM,239,331,40,360,0.0107,52,0
CRM,288,409,22,380,0.0124,55,1
ERP,268,452,21,428,0.0148,31,0
ERP,260,360,11,223,0.0237,59,0
ERP,277,168,42,575,0.0147,29,1
POS,216,429,17,377,0.027,50,1
CRM,295,490,49,192,0.0171,56,1
POS,226,183,41,646,0.0412,52,1
POS,170,178,47,227,0.0449,14,0
CRM,185,57,37,631,0.0256,24,1
POS,132,100,24,266,0.0305,11,1
ERP,180,390,32,335,0.0481,21,0
ERP,251,330,33,131,0.0314,16,1
POS,160,224,22,330,0.0498,11,1
POS,160,232,30,290,0.0157,17,1
CRM,197,241,21,690,0.0445,18,0
CRM,127,298,22,607,0.0299,36,1
POS,285,284,48,556,0.0109,37,0
ERP,142,132,32,354,0.0489,46,1
POS,268,142,37,378,0.0486,24,1
POS,266,422,23,155,0.0253,28,1
POS,185,443,26,205,0.0482,39,1
ERP,276,361,33,680,0.0156,22,0
CRM,116,317,43,291,0.0372,54,0
POS,197,466,31,377,0.0177,15,1
POS,297,169,19,643,0.0199,39,0
CRM,297,120,17,274,0.0412,10,0
ERP,197,66,30,184,0.0251,51,0
ERP,164,302,46,315,0.0103,47,1
CRM,173,494,16,113,0.0266,34,0
POS,184,171,35,136,0.0191,44,1
CRM,104,429,22,126,0.0373,35,1
ERP,101,59,25,675,0.0178,22,1
CRM,121,336,39,169,0.0437,28,0
ERP,211,365,40,253,0.0207,19,0
POS,156,375,14,537,0.0257,54,0
POS,165,322,41,370,0.0219,16,0
ERP,173,355,25,640,0.0358,24,0
CRM,197,342,18,173,0.014,32,0
CRM,243,259,31,670,0.0291,45,1
ERP,211,495,49,248,0.0234,52,1
POS,278,267,46,605,0.0454,40,1
POS,224,290,23,109,0.0129,17,1
ERP,266,423,25,601,0.0432,39,0
CRM,185,249,29,161,0.0167,43,1
POS,175,265,24,487,0.0135,42,0
ERP,187,254,35,331,0.0181,10,0
ERP,267,462,18,683,0.0141,25,1
POS,137,465,10,627,0.0308,59,0
CRM,287,265,44,649,0.0495,20,0
POS,158,129,29,544,0.0114,36,0
CRM,237,316,15,420,0.0284,31,0
CRM,198,439,19,182,0.0254,49,0
ERP,291,428,42,533,0.0236,28,0
CRM,162,84,25,116,0.0233,53,1
CRM,148,338,45,468,0.0458,15,1
CRM,291,67,15,681,0.0108,57,0
CRM,131,214,28,682,0.041,49,0
ERP,234,62,40,354,0.0201,48,0
ERP,120,251,11,555,0.0253,29,1
ERP,119,278,27,660,0.0268,12,0
CRM,253,395,37,632,0.0222,10,0
ERP,226,415,13,491,0.0137,32,1
POS,167,497,10,419,0.0146,47,0
POS,209,50,25,319,0.0219,12,0
POS,215,368,11,513,0.0429,43,1
ERP,242,266,45,131,0.0154,26,1
CRM,219,83,10,115,0.0397,57,0
CRM,178,408,48,508,0.0216,36,0
POS,215,315,32,272,0.0453,48,1
POS,191,177,35,278,0.0271,32,1
POS,113,261,20,672,0.0169,47,0
POS,254,312,10,596,0.0494,20,1
ERP,224,361,20,203,0.0171,24,1
ERP,267,129,33,416,0.0327,35,1
CRM,157,214,19,687,0.0328,20,0
CRM,127,462,23,280,0.0249,16,0
ERP,125,301,23,231,0.0481,56,0
CRM,212,61,16,254,0.0438,57,0
POS,290,450,32,458,0.0432,17,1
ERP,165,353,31,334,0.049,14,0
ERP,252,261,45,264,0.0283,26,1
CRM,230,331,36,526,0.0139,32,1
CRM,299,161,11,587,0.0406,11,1
CRM,143,260,48,312,0.0252,36,1
POS,196,427,28,256,0.0176,30,1
POS,141,288,16,174,0.0293,16,1
POS,105,317,21,534,0.047,47,0
CRM,266,454,12,277,0.0169,35,0
ERP,279,347,14,411,0.0439,39,1
POS,122,366,17,226,0.0267,21,0
ERP,188,107,23,476,0.0155,57,1
ERP,222,487,45,444,0.0439,20,0
POS,277,83,16,324,0.0488,26,1
ERP,270,312,16,116,0.0217,19,0
ERP,246,414,41,596,0.0221,57,0
CRM,296,84,17,572,0.0256,25,1
CRM,150,320,21,410,0.0426,24,1
ERP,110,498,19,236,0.0104,24,0
POS,111,276,23,574,0.019,29,1
POS,173,74,18,316,0.0382,13,0
POS,107,283,47,295,0.0262,41,0
POS,251,108,39,300,0.0232,31,1
CRM,140,300,14,465,0.0449,44,1
POS,263,384,10,627,0.0467,23,0
ERP,184,135,10,499,0.0479,39,1
POS,171,300,29,624,0.0209,40,1
POS,154,439,20,689,0.0465,19,0
CRM,236,229,35,313,0.0395,15,1
CRM,146,256,12,440,0.0162,36,1
POS,242,393,15,428,0.0344,20,0
POS,275,198,20,218,0.0111,45,0
CRM,203,120,17,524,0.0383,19,0
POS,141,170,38,472,0.0393,25,1
CRM,159,302,19,278,0.0416,33,1
POS,297,142,43,531,0.0169,30,0
POS,111,305,33,501,0.0351,49,1
CRM,229,303,26,493,0.0172,50,0
ERP,106,401,41,665,0.0479,45,1
CRM,179,337,20,178,0.037,58,0
POS,230,358,43,523,0.0138,51,0
POS,208,108,33,217,0.0175,54,1
ERP,102,118,14,467,0.0365,32,0
ERP,126,495,38,205,0.0291,30,1
POS,213,437,43,204,0.0395,41,1
CRM,206,135,25,402,0.0212,26,0
ERP,139,323,34,247,0.0363,26,0
ERP,260,276,46,249,0.0171,30,0
ERP,228,130,17,355,0.0317,13,0
ERP,107,163,38,181,0.0483,32,1
CRM,200,233,34,115,0.0351,34,1
POS,259,329,32,292,0.012,41,1
CRM,223,371,43,173,0.0496,15,1
POS,275,446,12,376,0.0163,23,0
POS,206,367,39,160,0.0387,50,0
ERP,200,103,43,635,0.0313,47,0
ERP,103,448,41,634,0.0218,51,1
ERP,297,246,38,442,0.0171,47,1
POS,209,436,18,494,0.0171,50,0
CRM,118,342,11,357,0.0443,54,0
ERP,131,342,48,297,0.0449,25,1
CRM,236,436,16,152,0.0286,41,0
POS,111,496,14,370,0.0141,25,0
POS,238,340,17,300,0.0454,28,0
CRM,145,229,41,495,0.0295,46,0
ERP,218,429,27,477,0.0276,52,1
POS,115,461,47,634,0.0263,30,0
ERP,228,271,27,187,0.0246,24,0
POS,162,323,25,497,0.031,35,0
CRM,208,427,30,281,0.0342,39,0
POS,218,293,19,382,0.0287,49,1
ERP,120,469,13,632,0.0459,24,1
CRM,257,466,17,660,0.0227,52,0
POS,112,497,28,289,0.0331,22,0
ERP,261,203,49,304,0.022,36,0
POS,103,353,49,143,0.0401,32,0
POS,255,473,18,399,0.0141,43,0
ERP,201,322,39,378,0.0175,43,1
CRM,158,473,26,484,0.042,32,1
ERP,227,184,49,410,0.0173,53,1
CRM,126,362,24,627,0.035,29,0
CRM,168,57,13,373,0.0488,18,1
CRM,124,177,15,581,0.0309,29,1
CRM,230,422,25,550,0.0175,56,0
POS,196,105,35,631,0.0228,48,0
POS,295,175,46,630,0.0429,23,0
CRM,124,208,32,624,0.0241,58,0
CRM,247,108,22,116,0.0389,35,1
ERP,261,107,26,129,0.0411,36,0
CRM,253,189,36,569,0.03,43,1
CRM,225,225,31,403,0.0413,38,0
CRM,232,464,46,654,0.0227,41,0
CRM,288,157,28,192,0.0306,50,0
POS,108,260,48,677,0.0375,54,0
ERP,215,496,44,683,0.0167,14,0
ERP,277,123,22,261,0.0209,13,1
CRM,233,216,23,427,0.0361,32,1
CRM,159,453,40,353,0.0362,30,0
CRM,271,406,11,539,0.0297,42,1
CRM,220,353,48,670,0.0418,50,1
CRM,238,282,46,643,0.0293,33,1
ERP,293,376,23,219,0.0453,25,1
CRM,274,421,18,613,0.0394,41,0
ERP,207,231,19,648,0.0226,28,0
POS,207,171,16,196,0.0258,35,0
POS,230,383,37,469,0.0367,12,0
ERP,175,252,34,516,0.0458,44,0
ERP,129,78,37,356,0.0171,48,0
CRM,120,251,11,227,0.0306,27,1
CRM,255,142,26,458,0.0148,16,0
POS,289,378,13,255,0.0212,41,1
ERP,260,405,22,156,0.0374,33,1
ERP,262,225,27,681,0.0131,25,1
CRM,279,379,12,655,0.0365,33,1
CRM,133,260,46,175,0.046,13,0
POS,140,233,42,257,0.0488,54,1
CRM,150,144,33,184,0.0187,41,0
POS,274,322,17,421,0.04,51,0
CRM,181,186,44,408,0.0471,43,0
POS,157,286,11,629,0.0137,28,1
ERP,174,402,42,383,0.0266,23,1
POS,284,467,21,141,0.0468,47,0
ERP,122,478,31,233,0.0181,22,0
CRM,275,314,22,503,0.0474,31,0
CRM,227,184,19,592,0.0311,40,1
POS,249,193,26,321,0.014,53,0
CRM,116,68,14,328,0.028,53,0
POS,168,280,18,551,0.0231,39,0
POS,207,183,22,405,0.0213,32,1
CRM,238,163,32,218,0.0317,21,0
ERP,193,188,39,423,0.0293,52,1
CRM,114,174,13,258,0.0293,23,1
ERP,190,253,30,338,0.0135,45,1
ERP,262,110,18,495,0.0421,54,0
ERP,132,299,16,419,0.0293,17,1
POS,224,347,25,288,0.0428,33,1
CRM,115,62,32,408,0.043,12,0
ERP,261,445,32,348,0.0227,23,1
ERP,165,304,40,637,0.0102,59,0
ERP,267,134,14,605,0.0464,20,1
ERP,255,69,15,493,0.0404,54,1
CRM,146,99,10,505,0.0143,47,1
ERP,266,213,37,280,0.0381,37,0
POS,297,141,27,120,0.0108,32,1
CRM,247,137,33,682,0.0111,27,1
POS,223,118,22,693,0.031,29,1
CRM,100,86,42,254,0.0138,42,0
CRM,299,302,19,658,0.0486,11,1
CRM,186,301,16,293,0.0458,48,0
ERP,227,189,46,323,0.036,46,1
ERP,290,404,41,498,0.0125,35,1
CRM,166,430,31,379,0.023,11,0
CRM,103,217,25,109,0.0249,12,0
ERP,285,103,33,475,0.0292,29,1
ERP,252,435,23,571,0.0168,19,1
CRM,146,227,20,251,0.0331,51,0
CRM,137,346,28,223,0.0274,30,1
CRM,242,350,32,652,0.0479,49,0
POS,290,408,43,523,0.0474,18,0
CRM,120,155,49,622,0.0326,11,0
POS,156,186,22,612,0.0358,37,1
ERP,216,239,48,270,0.0155,12,1
CRM,280,177,37,664,0.0189,25,1
CRM,145,391,49,224,0.046,13,1
CRM,241,96,25,274,0.038,32,0
CRM,244,54,37,603,0.0176,39,0
ERP,138,306,13,484,0.0328,47,1
ERP,236,349,37,670,0.0474,22,0
CRM,198,199,21,205,0.0238,15,1
POS,176,343,25,627,0.0174,19,0
CRM,214,292,45,137,0.0477,26,1
ERP,233,324,29,494,0.0285,17,0
CRM,250,257,35,576,0.0267,18,0
CRM,286,464,35,566,0.0207,43,1
ERP,190,164,31,604,0.0457,26,0
ERP,197,244,18,414,0.0438,52,0
CRM,219,392,14,384,0.0261,59,0
CRM,145,219,26,563,0.0112,31,0
ERP,137,428,43,363,0.0279,12,0
ERP,241,131,11,528,0.0172,50,1
CRM,199,203,16,464,0.0157,49,0
CRM,171,190,45,280,0.0257,38,1
ERP,289,363,22,343,0.014,48,1
ERP,134,195,29,412,0.0483,36,1
POS,246,372,39,175,0.0119,48,0
ERP,129,171,39,361,0.0261,49,0
POS,177,301,20,330,0.0165,46,0
POS,183,392,40,479,0.0376,12,1
CRM,212,436,12,408,0.0132,28,0
POS,124,360,11,487,0.0319,43,1
ERP,267,138,12,424,0.0409,23,0
POS,187,107,24,555,0.048,30,0
CRM,113,112,26,611,0.0379,11,1
CRM,253,396,16,442,0.014,19,1
